N,pi_value,error_value,time
10,0.8000000000000000,2.34159,0.04603862762451172
100,2.9199999999999999,0.221593,0.04838967323303223
1000,3.0760000000000001,0.0655927,0.04196453094482422
10000,3.1543999999999999,0.0128073,0.03313040733337402
100000,3.1392400000000000,0.00235265,0.05088639259338379
1000000,3.1397719999999998,0.00182065,0.04520082473754883
100000000,3.1415396000000002,5.30536e-05,0.981515645980835
1000000000,3.1416271320000000,3.44784e-05,9.631856679916382
10000000000,3.1415752140768776,1.74395e-05,13.765742063522339
100000000000,3.1415652541138912,2.73995e-05,11.816223859786987
