N,pi_value,error_value,time
10,0.4000000000000000,2.74159,0.06183505058288574
100,2.2000000000000002,0.941593,0.052701711654663086
1000,3.1080000000000001,0.0335927,0.05914711952209473
10000,3.1364000000000001,0.00519265,0.08099055290222168
100000,3.1430799999999999,0.00148735,0.0566256046295166
1000000,3.1430639999999999,0.00147135,0.0861971378326416
100000000,3.1415592000000001,3.34536e-05,0.8139612674713135
1000000000,3.1415773680000001,1.52856e-05,7.5990822315216064
10000000000,3.1415371988190777,5.54548e-05,10.587626457214355
100000000000,3.1415740486692867,1.86049e-05,9.279841423034668
