N,pi_value,error_value,time
10,0.4000000000000000,2.74159,0.04960489273071289
100,2.4800000000000000,0.661593,0.04748678207397461
1000,3.1040000000000001,0.0375927,0.04965376853942871
10000,3.1560000000000001,0.0144073,0.041975975036621094
100000,3.1482399999999999,0.00664735,0.043363332748413086
1000000,3.1414520000000001,0.000140654,0.05705666542053223
100000000,3.1415412800000002,5.13736e-05,0.8031573295593262
1000000000,3.1416070079999998,1.43544e-05,7.047893524169922
10000000000,3.1416156490805851,2.29955e-05,9.70148253440857
100000000000,3.1416193802758121,2.67267e-05,8.497523069381714
