N,pi_value,error_value,time
10,3.6000000000000001,0.458407,0.023365020751953125
100,3.3199999999999998,0.178407,0.009641170501708984
1000,3.2160000000000002,0.0744073,0.00797581672668457
10000,3.1511999999999998,0.00960735,0.010261774063110352
100000,3.1454800000000001,0.00388735,0.026169300079345703
1000000,3.1408440000000000,0.000748654,0.3408796787261963
100000000,3.1414527600000000,0.000139894,32.43047332763672
1000000000,3.1414993320000000,9.33216e-05,332.749942779541
10000000000,3.1415264844224873,6.61692e-05,468.03976607322693
100000000000,3.1415926314036207,2.21862e-08,334.9131193161011
