N,pi_value,error_value,time
10,3.6000000000000001,0.458407,0.006871938705444336
100,3.1200000000000001,0.0215927,0.007339000701904297
1000,3.1920000000000002,0.0504073,0.010254621505737305
10000,3.1920000000000002,0.0504073,0.03127455711364746
100000,3.1345600000000000,0.00703265,0.037055253982543945
1000000,3.1452719999999998,0.00367935,0.3738422393798828
100000000,3.1417550400000001,0.000162386,37.53290367126465
1000000000,3.1416550839999999,6.24304e-05,378.0990996360779
10000000000,3.1415756083848274,1.70452e-05,531.7042689323425
100000000000,3.1415919996959381,6.53894e-07,458.80968594551086
