N,pi_value,error_value,time
10,2.7999999999999998,0.341593,0.07499194145202637
100,3.0800000000000001,0.0615927,0.04505133628845215
1000,3.1960000000000002,0.0544073,0.04981040954589844
10000,3.1543999999999999,0.0128073,0.04652142524719238
100000,3.1337999999999999,0.00779265,0.030272722244262695
1000000,3.1423239999999999,0.000731346,0.05257439613342285
100000000,3.1413389600000001,0.000253694,1.8993520736694336
1000000000,3.1416198479999999,2.71944e-05,18.269383668899536
10000000000,3.1415992413310803,6.58774e-06,25.180318593978882
100000000000,3.1415640466309767,2.8607e-05,21.752023220062256
