N,pi_value,error_value,time
10,1.2000000000000000,1.94159,0.1441488265991211
100,2.6800000000000002,0.461593,0.13631725311279297
1000,3.1240000000000001,0.0175927,0.1393899917602539
10000,3.1103999999999998,0.0311927,0.13097500801086426
100000,3.1407600000000002,0.000832654,0.12966680526733398
1000000,3.1425519999999998,0.000959346,0.13392400741577148
100000000,3.1413286800000000,0.000263974,0.6467030048370361
1000000000,3.1415482159999999,4.44376e-05,5.340421915054321
10000000000,3.1416378636529179,4.52101e-05,7.419777154922485
100000000000,3.1414948680594277,9.77855e-05,6.560398817062378
