N,pi_value,error_value,time
10,0.4000000000000000,2.74159,0.14763903617858887
100,2.6400000000000001,0.501593,0.14990806579589844
1000,3.0440000000000000,0.0975927,0.15335798263549805
10000,3.1375999999999999,0.00399265,0.14905309677124023
100000,3.1399599999999999,0.00163265,0.14732813835144043
1000000,3.1410439999999999,0.000548654,0.1561720371246338
100000000,3.1416263199999999,3.36664e-05,0.5860350131988525
1000000000,3.1416097960000000,1.71424e-05,4.582766056060791
10000000000,3.1416333362033657,4.06826e-05,6.530209064483643
100000000000,3.1415938421766794,1.18859e-06,5.728196144104004
