N,pi_value,error_value,time
10,3.2000000000000002,0.0584073,0.2769458293914795
100,3.1600000000000001,0.0184073,0.13276171684265137
1000,3.1560000000000001,0.0144073,0.12517094612121582
10000,3.1436000000000002,0.00200735,0.12712907791137695
100000,3.1446800000000001,0.00308735,0.1319599151611328
1000000,3.1435840000000002,0.00199135,0.1338062286376953
100000000,3.1415365199999998,5.61336e-05,1.1355478763580322
1000000000,3.1415586800000002,3.39736e-05,10.208266019821167
10000000000,3.1415384413146317,5.42123e-05,14.167259931564331
100000000000,3.1416201699104156,2.75163e-05,12.360561847686768
