N,pi_value,error_value,time
10,2.7999999999999998,0.341593,0.003229856491088867
100,3.0800000000000001,0.0615927,0.002621173858642578
1000,3.0440000000000000,0.0975927,0.0025179386138916016
10000,3.1728000000000001,0.0312073,0.002605915069580078
100000,3.1283200000000000,0.0132727,0.004643917083740234
1000000,3.1417160000000002,0.000123346,0.01592087745666504
100000000,3.1417166000000001,0.000123946,0.855334997177124
1000000000,3.1416894119999998,9.67584e-05,8.44995403289795
10000000000,3.1417326706024689,0.000140017,11.909932136535645
100000000000,3.1417649000627916,0.000172246,10.285155057907104
