N,pi_value,error_value,time
10,3.2000000000000002,0.0584073,0.003381967544555664
100,3.2400000000000002,0.0984073,0.002814054489135742
1000,3.1160000000000001,0.0255927,0.0025959014892578125
10000,3.1295999999999999,0.0119927,0.0025200843811035156
100000,3.1383200000000002,0.00327265,0.0032193660736083984
1000000,3.1412119999999999,0.000380654,0.011393070220947266
100000000,3.1418505200000002,0.000257866,0.8981571197509766
1000000000,3.1417613040000001,0.00016865,8.943646907806396
10000000000,3.1416719897294296,7.93361e-05,12.839403867721558
100000000000,3.1416115694735263,1.89159e-05,10.870558977127075
