N,pi_value,error_value,time
10,3.2000000000000002,0.0584073,0.020552873611450195
100,2.8799999999999999,0.261593,0.0027189254760742188
1000,3.0680000000000001,0.0735927,0.0024652481079101562
10000,3.1372000000000000,0.00439265,0.0025870800018310547
100000,3.1414399999999998,0.000152654,0.003988027572631836
1000000,3.1417519999999999,0.000159346,0.017239809036254883
100000000,3.1421576000000000,0.000564946,1.4711620807647705
1000000000,3.1424627119999999,0.000870058,14.444194078445435
10000000000,3.1424690619741806,0.000876408,20.470139980316162
100000000000,3.1423050561935568,0.000712403,17.773290872573853
